Distance_(mm),Gray_Value
0,-999.219
0.09766,-1000.656
0.19531,-1002.125
0.29297,-1003.125
0.39062,-1003.375
0.48828,-1002.375
0.58594,-1001.281
0.68359,-999.844
0.78125,-998.281
0.8789,-997.125
0.97656,-997.531
1.07422,-1000.75
1.17187,-1005.312
1.26953,-1010.812
1.36718,-1015.75
1.46484,-1018.719
1.5625,-1019.031
1.66015,-1016.562
1.75781,-1008.969
1.85546,-988.906
1.95312,-948.5
2.05078,-891.969
2.14843,-824.188
2.24609,-742.719
2.34374,-653.938
2.4414,-560.406
2.53906,-473.062
2.63671,-396.188
2.73437,-331.781
2.83202,-286.219
2.92968,-271.062
3.02734,-275.594
3.12499,-302.625
3.22265,-353.344
3.3203,-420.531
3.41796,-500.125
3.51562,-582.906
3.61327,-666.875
3.71093,-748.438
3.80858,-821.656
3.90624,-878
4.0039,-926.656
4.10155,-961.625
4.19921,-984.781
4.29686,-998.25
4.39452,-1004.656
4.49218,-1007
4.58983,-1006.625
4.68749,-1004.875
4.78514,-1002.625
4.8828,-1001.906
4.98046,-1001.75
5.07811,-1002.031
5.17577,-1002.594
5.27342,-1003.031
5.37108,-1003.781
5.46874,-1003.969
5.56639,-1003.406
5.66405,-1003.156
5.7617,-1002.719
5.85936,-1001.875
